Starting status check for https://api.layerswap.io at Fri Nov  8 19:39:10 +04 2024
Fri Nov  8 19:39:11 +04 2024: Status Code 404
Fri Nov  8 19:39:16 +04 2024: Status Code 404
Fri Nov  8 19:39:22 +04 2024: Status Code 404
Fri Nov  8 19:39:27 +04 2024: Status Code 404
Fri Nov  8 19:39:32 +04 2024: Status Code 404
Fri Nov  8 19:39:35 +04 2024: Status Code 404
Fri Nov  8 19:39:40 +04 2024: Status Code 404
Fri Nov  8 19:39:45 +04 2024: Status Code 404
Fri Nov  8 19:39:51 +04 2024: Status Code 404
Fri Nov  8 19:39:56 +04 2024: Status Code 404
Fri Nov  8 19:40:02 +04 2024: Status Code 404
Fri Nov  8 19:40:07 +04 2024: Status Code 404
Fri Nov  8 19:40:13 +04 2024: Status Code 404
Fri Nov  8 19:40:18 +04 2024: Status Code 404
Fri Nov  8 19:40:23 +04 2024: Status Code 404
Fri Nov  8 19:40:28 +04 2024: Status Code 404
Fri Nov  8 19:40:33 +04 2024: Status Code 404
Fri Nov  8 19:40:39 +04 2024: Status Code 404
Fri Nov  8 19:40:44 +04 2024: Status Code 404
Fri Nov  8 19:40:49 +04 2024: Status Code 503
Fri Nov  8 19:40:54 +04 2024: Status Code 404
Fri Nov  8 19:41:00 +04 2024: Status Code 404
Fri Nov  8 19:41:05 +04 2024: Status Code 404
Fri Nov  8 19:41:10 +04 2024: Status Code 404
Fri Nov  8 19:41:16 +04 2024: Status Code 404
Fri Nov  8 19:41:21 +04 2024: Status Code 404
Fri Nov  8 19:41:26 +04 2024: Status Code 404
Fri Nov  8 19:41:31 +04 2024: Status Code 404
Fri Nov  8 19:41:36 +04 2024: Status Code 404
Fri Nov  8 19:41:42 +04 2024: Status Code 404
Fri Nov  8 19:41:47 +04 2024: Status Code 404
Fri Nov  8 19:41:52 +04 2024: Status Code 404
Fri Nov  8 19:41:57 +04 2024: Status Code 404
Fri Nov  8 19:42:02 +04 2024: Status Code 404
Fri Nov  8 19:42:08 +04 2024: Status Code 404
Fri Nov  8 19:42:13 +04 2024: Status Code 404
Fri Nov  8 19:42:18 +04 2024: Status Code 404
Fri Nov  8 19:42:23 +04 2024: Status Code 404
Fri Nov  8 19:42:29 +04 2024: Status Code 404
Fri Nov  8 19:42:34 +04 2024: Status Code 404
Fri Nov  8 19:42:39 +04 2024: Status Code 404
Fri Nov  8 19:42:44 +04 2024: Status Code 404
Fri Nov  8 19:42:49 +04 2024: Status Code 404
Fri Nov  8 19:42:55 +04 2024: Status Code 404
Fri Nov  8 19:43:00 +04 2024: Status Code 404
Fri Nov  8 19:43:05 +04 2024: Status Code 404
Fri Nov  8 19:43:10 +04 2024: Status Code 404
Fri Nov  8 19:43:16 +04 2024: Status Code 404
Fri Nov  8 19:43:21 +04 2024: Status Code 404
Fri Nov  8 19:43:26 +04 2024: Status Code 404
Fri Nov  8 19:43:31 +04 2024: Status Code 404
Fri Nov  8 19:43:36 +04 2024: Status Code 404
Fri Nov  8 19:43:42 +04 2024: Status Code 404
Fri Nov  8 19:43:47 +04 2024: Status Code 404
Fri Nov  8 19:43:52 +04 2024: Status Code 404
Fri Nov  8 19:43:57 +04 2024: Status Code 404
Fri Nov  8 19:44:02 +04 2024: Status Code 404
Fri Nov  8 19:44:07 +04 2024: Status Code 404
Fri Nov  8 19:44:13 +04 2024: Status Code 404
Fri Nov  8 19:44:18 +04 2024: Status Code 404
Fri Nov  8 19:44:23 +04 2024: Status Code 404
Fri Nov  8 19:44:28 +04 2024: Status Code 404
Fri Nov  8 19:44:34 +04 2024: Status Code 404
Fri Nov  8 19:44:39 +04 2024: Status Code 404
Fri Nov  8 19:44:44 +04 2024: Status Code 404
Fri Nov  8 19:44:49 +04 2024: Status Code 404
Fri Nov  8 19:44:54 +04 2024: Status Code 404
Fri Nov  8 19:45:00 +04 2024: Status Code 404
Fri Nov  8 19:45:05 +04 2024: Status Code 404
Fri Nov  8 19:45:10 +04 2024: Status Code 404
Fri Nov  8 19:45:16 +04 2024: Status Code 404
Fri Nov  8 19:45:21 +04 2024: Status Code 404
Fri Nov  8 19:45:26 +04 2024: Status Code 404
Fri Nov  8 19:45:31 +04 2024: Status Code 404
Fri Nov  8 19:45:36 +04 2024: Status Code 404
Fri Nov  8 19:45:42 +04 2024: Status Code 404
Fri Nov  8 19:45:47 +04 2024: Status Code 404
Fri Nov  8 19:45:52 +04 2024: Status Code 404
Fri Nov  8 19:45:57 +04 2024: Status Code 404
Fri Nov  8 19:46:02 +04 2024: Status Code 404
Fri Nov  8 19:46:08 +04 2024: Status Code 404
Fri Nov  8 19:46:13 +04 2024: Status Code 404
Fri Nov  8 19:46:18 +04 2024: Status Code 404
Fri Nov  8 19:46:23 +04 2024: Status Code 404
Fri Nov  8 19:46:29 +04 2024: Status Code 404
Fri Nov  8 19:46:34 +04 2024: Status Code 404
Fri Nov  8 19:46:39 +04 2024: Status Code 404
Fri Nov  8 19:46:44 +04 2024: Status Code 404
Fri Nov  8 19:46:50 +04 2024: Status Code 404
Fri Nov  8 19:46:55 +04 2024: Status Code 404
Fri Nov  8 19:47:00 +04 2024: Status Code 404
Fri Nov  8 19:47:05 +04 2024: Status Code 404
Fri Nov  8 19:47:11 +04 2024: Status Code 404
Fri Nov  8 19:47:16 +04 2024: Status Code 404
Fri Nov  8 19:47:21 +04 2024: Status Code 404
Fri Nov  8 19:47:26 +04 2024: Status Code 404
Fri Nov  8 19:47:31 +04 2024: Status Code 404
Fri Nov  8 19:47:36 +04 2024: Status Code 404
Fri Nov  8 19:47:42 +04 2024: Status Code 404
Fri Nov  8 19:47:47 +04 2024: Status Code 404
Fri Nov  8 19:47:52 +04 2024: Status Code 404
Fri Nov  8 19:47:57 +04 2024: Status Code 404
Fri Nov  8 19:48:02 +04 2024: Status Code 404
Fri Nov  8 19:48:08 +04 2024: Status Code 404
Fri Nov  8 19:48:13 +04 2024: Status Code 404
Fri Nov  8 19:48:18 +04 2024: Status Code 404
Fri Nov  8 19:48:23 +04 2024: Status Code 404
Fri Nov  8 19:48:28 +04 2024: Status Code 404
Fri Nov  8 19:48:33 +04 2024: Status Code 404
Fri Nov  8 19:48:39 +04 2024: Status Code 404
Fri Nov  8 19:48:44 +04 2024: Status Code 404
Fri Nov  8 19:48:49 +04 2024: Status Code 404
Fri Nov  8 19:48:54 +04 2024: Status Code 404
Fri Nov  8 19:49:00 +04 2024: Status Code 404
Fri Nov  8 19:49:05 +04 2024: Status Code 404
Fri Nov  8 19:49:10 +04 2024: Status Code 404
Fri Nov  8 19:49:15 +04 2024: Status Code 404
Fri Nov  8 19:49:20 +04 2024: Status Code 404
Fri Nov  8 19:49:26 +04 2024: Status Code 404
Fri Nov  8 19:49:31 +04 2024: Status Code 404
Finished status check at Fri Nov  8 19:49:36 +04 2024
